CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
50001,0,4.0,Computer,3,27.0,Debit Card,Male,3,3,Mobile Phone,3,Married,4,0,25,1,3,6.0,71.72
50002,0,7.0,Mobile Phone,1,14.0,E-Wallet,Female,3,4,Laptop & Accessory,1,Single,2,0,11,1,2,6.0,183.58
50003,1,13.0,Mobile Phone,1,10.0,E-Wallet,Female,3,3,Laptop & Accessory,3,Single,4,0,10,0,3,0.0,123.62
50004,1,9.0,Mobile Phone,1,30.0,Cash on Delivery,Female,5,3,Fashion,4,Married,2,1,11,1,5,2.0,189.86
50005,1,1.0,Mobile Phone,3,5.0,Credit Card,Male,2,5,Grocery,4,Divorced,2,0,15,1,3,4.0,164.53
50006,0,1.0,Mobile Phone,2,5.0,Credit Card,Male,1,2,Laptop & Accessory,3,Single,4,0,10,3,2,2.0,134.29
50007,1,0.0,Mobile Phone,3,18.0,Debit Card,Female,3,4,Grocery,3,Single,2,0,15,4,1,6.0,145.5
50008,0,20.0,Mobile Phone,3,10.0,E-Wallet,Female,4,3,Fashion,1,Married,2,1,21,1,2,2.0,143.53
50009,0,9.0,Computer,3,6.0,UPI,Male,2,3,Mobile Phone,3,Single,2,0,15,3,2,0.0,178.06
50010,0,12.0,Mobile Phone,2,20.0,Debit Card,Female,2,3,Mobile Phone,1,Single,2,0,13,0,5,16.0,213.99
50011,1,0.0,Mobile Phone,2,16.0,Debit Card,Female,1,3,Grocery,4,Divorced,3,0,12,3,1,1.0,253.35
50012,0,35.0,Mobile Phone,3,10.0,Cash on Delivery,Male,2,3,Grocery,5,Single,4,1,18,1,1,5.0,168.16
50013,0,17.0,Mobile Phone,3,5.0,UPI,Female,3,1,Laptop & Accessory,5,Single,2,1,11,2,2,0.0,186.95
50014,1,2.0,Computer,2,21.0,E-Wallet,Male,3,2,Fashion,5,Married,3,1,22,3,2,1.0,222.45
50015,1,2.0,Mobile Phone,2,20.0,E-Wallet,Male,2,1,Mobile Phone,4,Married,3,0,22,2,3,2.0,157.04
50016,0,2.0,Computer,2,14.0,E-Wallet,Male,2,5,Laptop & Accessory,4,Single,2,0,16,1,1,0.0,143.68
50017,0,3.0,Computer,1,29.0,Debit Card,Female,1,5,Others,2,Single,2,0,14,1,2,2.0,252.94
50018,0,7.0,Mobile Phone,3,6.0,Cash on Delivery,Female,2,3,Laptop & Accessory,4,Married,6,1,19,1,1,0.0,167.81
50019,0,5.0,Mobile Phone,2,5.0,Debit Card,Female,3,4,Grocery,3,Married,4,0,19,2,1,3.0,183.69
50020,0,3.0,Mobile Phone,1,9.0,Credit Card,Female,5,3,Others,3,Single,3,0,11,2,4,4.0,110.85
50021,0,9.0,Mobile Phone,1,14.0,Credit Card,Male,4,4,Laptop & Accessory,4,Single,3,1,12,2,2,0.0,154.05
50022,1,1.0,Computer,3,16.0,E-Wallet,Male,1,4,Fashion,2,Married,1,0,10,3,3,9.0,250.49
50023,0,3.0,Mobile Phone,2,13.0,Cash on Delivery,Male,4,5,Mobile Phone,3,Married,3,0,16,5,4,0.0,193.51
50024,0,4.0,Mobile Phone,1,17.0,E-Wallet,Male,3,3,Others,5,Married,3,0,17,2,4,1.0,173.85
50025,1,6.0,Mobile Phone,1,5.0,E-Wallet,Female,3,4,Fashion,1,Married,3,0,10,2,6,4.0,230.75
50026,0,15.0,Mobile Phone,2,26.0,Debit Card,Male,3,2,Laptop & Accessory,3,Married,2,1,13,1,3,2.0,109.2
50027,0,2.0,Mobile Phone,1,14.0,E-Wallet,Female,2,6,Grocery,5,Single,1,0,10,4,4,3.0,158.41
50028,0,7.0,Mobile Phone,1,23.0,E-Wallet,Male,2,1,Grocery,4,Divorced,1,0,11,2,1,0.0,266.0
50029,0,8.0,Mobile Phone,2,17.0,Cash on Delivery,Male,1,3,Fashion,3,Divorced,6,0,17,2,4,7.0,173.0
50030,1,0.0,Mobile Phone,2,18.0,Cash on Delivery,Male,2,4,Grocery,2,Married,2,0,12,0,5,4.0,172.72
50031,0,9.0,Mobile Phone,3,19.0,Cash on Delivery,Female,2,4,Mobile Phone,3,Single,2,0,13,1,1,0.0,222.17
50032,0,1.0,Mobile Phone,1,18.0,E-Wallet,Male,3,2,Fashion,5,Married,1,0,10,1,1,2.0,224.95
50033,0,0.0,Computer,1,20.0,Cash on Delivery,Male,3,5,Fashion,4,Married,1,0,15,1,5,7.0,122.94
50034,0,29.0,Mobile Phone,1,25.0,Cash on Delivery,Female,3,2,Grocery,3,Single,4,0,14,2,5,3.0,192.12
50035,1,33.0,Mobile Phone,1,16.0,UPI,Female,1,3,Fashion,1,Married,3,0,12,3,5,0.0,245.23
50036,0,16.0,Mobile Phone,1,20.0,UPI,Female,5,2,Laptop & Accessory,1,Married,3,0,14,3,3,2.0,149.28
50037,0,3.0,Computer,3,14.0,Credit Card,Male,4,3,Others,5,Married,2,1,15,4,3,1.0,160.1
50038,1,1.0,Computer,1,26.0,Debit Card,Male,3,3,Others,3,Single,4,0,11,3,5,3.0,176.15
50039,1,11.0,Computer,3,9.0,Debit Card,Female,5,3,Grocery,4,Single,1,1,10,1,4,8.0,202.77
